Company Name,Last Price,% Chg,52 wk Low,Market Cap(Rs. Cr)
Bajaj Finance,"6,786.90",-1.53,"5,235.60","4,10,898.77"
LIC India,638.85,-0.75,588,"4,04,072.48"
HDFC Bank,"1,613.55",-0.23,"1,271.75","8,99,489.20"
Infosys,"1,592.90",0.38,"1,355.50","6,70,284.50"
ICICI Bank,920.6,0.13,642,"6,41,931.23"
TCS,"3,341.80",-0.29,"2,926.00","12,22,781.79"
SBI,602.65,0.58,425,"5,37,841.73"
HDFC,"2,667.05",0.3,"2,026.55","4,85,235.12"
Adani Enterprise,"4,019.85",0.05,"1,529.55","4,74,419.55"
Bharti Airtel,837,-1.07,629.05,"4,73,851.11"
ITC,341,-0.7,207,"4,23,191.92"
Adani Total Gas,"3,642.45",-2.56,"1,513.00","4,00,600.32"
Kotak Mahindra,"1,958.85",0.44,"1,630.00","3,88,990.75"
HUL,"2,483.25",0.99,"1,901.80","5,83,462.25"
Reliance,"2,597.55",-0.14,"2,181.00","17,57,445.05"
